Name,Catalog Number,Price (HUF),Amount,Total (HUF),Company,Vender,URL
Universal PCB board (200 x 100),75-00-13,786,1,786,RADM,RET,http://www.ret.hu/Page.aspx?pageid=8&code=75-00-13&mfnb=2
"P2510I-02 BE?LT. T?SKESOR 2-P?LUS? RM=2,54mm I=3A EGYENES =CRS-2",53-12-44,16,3,48,TKP,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-12-44&mfnb=1
"H2510-02 LENG? ALJZAT 2-P?LUS? RM=2,54mm I=3A. BET?T N?LK?L BET?T: 53-12-55 =CRF-2",53-12-56,8,3,24,TKP,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-12-56&mfnb=1
LED 5mm Yellow,46-01-44,13,1,13,LIT,RET,http://www.ret.hu/Page.aspx?pageid=8&code=46-01-44&mfnb=1
LED 5mm Green,46-01-51,15,1,15,LIT,RET,http://www.ret.hu/Page.aspx?pageid=8&code=46-01-51&mfnb=1
330 Ohm 1/4 W 5 % RM4,01-00-61,2,2,4,YAG,RET,http://www.ret.hu/Page.aspx?pageid=8&code=01-00-61&mfnb=3
10 KOhm 0.4 W Tk=Å}50 1% RM2,02-06-37,3.7,2,7.4,YAG,RET,http://www.ret.hu/Page.aspx?pageid=8&code=02-06-37&mfnb=2
Push Bt (make contact) Red,52-00-06,112,1,112,,RET,http://www.ret.hu/Page.aspx?pageid=8&code=52-00-06&mfnb=2
4 mm banana plug male (black),53-03-10,248.03,1,248.03,HIRSCHMANN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-03-10&mfnb=2
4 mm banana plug male (red),53-03-11,248.03,1,248.03,HIRSCHMANN,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-03-11&mfnb=2
"AMPH cable 10, RM = 1.27",55-00-57,272,3,816,AMPH,RET,http://www.ret.hu/Page.aspx?pageid=8&code=55-00-57&mfnb=1
BNC female (insulated),53-02-93,400,2,800,DIV,RET,http://www.ret.hu/Page.aspx?pageid=8&code=53-02-93&mfnb=1
BNC connector female/female,83-00-88,898,2,1796,Amphenol,RET,https://www.ret.hu/shop/product/amphenol/b-2071a2-nd3g-50_83-00-88
MS 611A?- MIYAMA - MS-611A-A01,52-00-98,392.13,2,784.26,MIYAMA,RET,https://www.ret.hu/shop/product/miyama/ms-611a_52-00-98
MS 611F - MIYAMA - MS-611F-A01,52-00-99,596.85,2,1193.7,MIYAMA,RET,https://www.ret.hu/shop/product/miyama/ms-611f_52-00-99
GBM 3050-15 F?M T?VTART? M3 L=15mm APA/ANYA FORRASZTHAT?,65-04-22,95,4,380,FIS,RET,http://www.ret.hu/Page.aspx?pageid=8&code=65-04-22&mfnb=1
ABM 3050-15 F?M T?VTART? M3 L=15mm ANYA/ANYA FORRASZTHAT?,65-04-30,58,4,232,FIS,RET,http://www.ret.hu/Page.aspx?pageid=8&code=65-04-30&mfnb=1
S6BB-PC 3.5mm mono szigetelt Jack aljzat - CLIFF - CL1384,67-02-42,488,2,976,CLFF,RET,https://www.ret.hu/shop/product/cliff/s6bb-pc-3-5mm-mono-szigetelt-jack-aljzat_67-02-42
